282613,0,1992678006,Mon Jun 01 09:08:43 PDT 2009,JraseanJ,@ work     The day job...
53377,0,1680196975,Sat May 02 11:07:27 PDT 2009,gazzarinie,off 2 wrk agen 2moz  up @ 6 agen :'( will b knackerd by tues wrkin all wkend
678024,0,2248860041,Fri Jun 19 21:18:21 PDT 2009,sgtchamp,"coming down with a fever.  and the only cure is more cowbell, where can i get some?"
460373,0,2072427966,Sun Jun 07 21:00:25 PDT 2009,essejpatterson,I want to be gene simmons' kid.  Nick ad sophie are lucky.
328192,0,2010413417,Tue Jun 02 17:20:31 PDT 2009,shonstr,i want / need a job mannn !
259209,0,1985367413,Sun May 31 16:58:19 PDT 2009,melpig,Just wake up.... Decided that I shall not drive to work today... Shall let taxi uncle earn my money as my ankle is really pain.
223806,0,1977278236,Sat May 30 20:34:11 PDT 2009,CNochea,...no more Lebron
485547,0,2181174311,Mon Jun 15 11:28:08 PDT 2009,CravenMonkey,Bad day @ work
464610,0,2175166626,Mon Jun 15 00:15:21 PDT 2009,igalko,"Fixed display of code samples on automateit.org website. New Hpricot parser made nice multiline styled code into unbroken, unstyled text. "
544421,0,2201101065,Tue Jun 16 19:48:24 PDT 2009,quadthecomposer,@JANNASEVERSON WHAT'S THE URL 2 UR MYSPACE...I HAVE 2 MANY FRIENDS AND THEY DON'T EVEN HAVE THE SEARCH FRIENDS ANYMORE
1512419,4,2175223060,Mon Jun 15 00:24:22 PDT 2009,TashaFrances,i feel..... ignored. i have nine followers. YIPPIE. i shall follow scotty and nige eh.
1234042,4,1992294379,Mon Jun 01 08:31:09 PDT 2009,PyroGrrl,@emmaawatsonn hey! is your new laptop good?
1405743,4,2055242325,Sat Jun 06 08:57:58 PDT 2009,rhysmorgan,Just been told an internal Carphone Warehouse memo puts the next gen iPhone release date as July 17. (via @alisongow) I hope so
882473,4,1685980665,Sun May 03 03:06:39 PDT 2009,RoseStack,@masterballerina OMG DID I TELL YOU YET? BRADIE REPLIED TO ME ON MYSPACE!! ill show u tomorrow. he replied at 1 minute past midnight
1397326,4,2053946844,Sat Jun 06 06:09:20 PDT 2009,kmphillips8,off to Zanesville to have a pool day with her family
1473699,4,2065593314,Sun Jun 07 08:54:49 PDT 2009,SierraRanch,Check out my motivation on http://sierraranchok.net  So need to update websites and she mkers it hard.
1376437,4,2051748114,Fri Jun 05 22:42:45 PDT 2009,pink_carrot,yay maintinence is overr!
1516872,4,2175770149,Mon Jun 15 01:57:03 PDT 2009,enekoruiz,@THE_REAL_SHAQ pappacito?  r u kidding me?
1509122,4,2174764807,Sun Jun 14 23:15:47 PDT 2009,soapsrus,These bars Rock!!  Dead Sea Black Mineral Mud Bars ...  http://bit.ly/YRixY
1179466,4,1981752867,Sun May 31 09:49:14 PDT 2009,samanth93,Church was good this morning!!! NEW MOON trailer TONIGHT on MTV awards   JACOB BLACK!!!1 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3
